Subgroups,k,Estimate,CI_lower,CI_upper,tau2,I2,Q,Q_df,Q_p
social connections OR,7,1.269428771,1.11496464,1.445291938,0.003107177,8.192195302,6.252964026,6,0.3954578
social connections HR,2,1.153302658,0.838357794,1.58656248,0,0,0.07092836,1,0.789989855
marriage OR,4,1.184266159,0.745476878,1.881327747,0,0,1.391702694,3,0.707480813
marriage HR,2,2.721527068,0.636065536,11.64456987,1.049223051,95.36956584,21.59624703,1,3.37E-06
employment OR,5,1.138658724,0.969223098,1.337714395,0,0,1.561164035,4,0.815754579
employment HR,2,0.777218297,0.309156409,1.953924494,0.405195885,91.52318998,11.79689054,1,0.000593297
economic status OR,4,1.119410465,0.9112516,1.375119439,0,0,2.327743228,3,0.507226886
economic status HR,7,0.992883929,0.884697747,1.114299771,0.009322801,43.26667823,11.36382798,6,0.077762036
education OR,4,1.047538639,0.877558841,1.250442875,0,0,1.661377953,3,0.645554215
education HR,5,0.98264278,0.835985105,1.155028753,0.013474592,44.87327158,8.101417003,4,0.087933013
